sample	PC1	PC2
c_ll_la_0044	3.825134490818342	-1.0641246040860328
c_ll_la_0045	3.0395148015882465	-1.4147488384186513
c_ll_la_0047	2.97201873115076	-1.3781344148740504
c_ll_la_0048	3.6121944535001194	-1.145410799868178
c_ll_la_0052	3.6786059247137746	-1.0824511337843303
c_ll_la_0053	3.686160506418654	-1.1495640767003303
c_ll_la_0054	3.2256594703810575	-1.326862191922444
c_ll_ki_0090	1.4643889975862294	-1.7134222535248056
c_ll_ki_0091	1.4643889975862299	-1.713422253524804
c_ll_ki_0092	1.4643889975862296	-1.7134222535248043
c_ll_ki_0093	1.4643889975862303	-1.7134222535248051
c_ll_ki_0094	1.4643889975862285	-1.713422253524805
c_ll_ki_0095	1.276756229218074	-1.636986830826499
c_ll_ki_0096	1.276756229218073	-1.6369868308264979
c_ll_ki_0097	1.276756229218073	-1.6369868308264974
c_ll_ki_0098	1.2767562292180732	-1.6369868308264977
c_ll_ki_0099	1.276756229218073	-1.6369868308264979
c_ll_ki_0100	0.9945964951985279	-1.4348331764208104
c_ll_ki_0101	0.9945964951985279	-1.4348331764208104
c_ll_ki_0102	0.9945964951985278	-1.4348331764208104
c_ll_vl_0107	1.34358998094137	2.967904511144195
c_ll_vl_0108	0.8683239826842749	2.6998249154237977
c_ll_vl_0109	1.3912146927001965	3.6768352992230118
c_ll_vl_0110	-1.3281340848093495	1.3989940649171018
c_ll_vl_0112	1.5001552681144268	3.770491447029118
c_ll_vl_0113	1.5001552681144268	3.770491447029118
c_ll_vl_0114	1.1516489787073136	4.672954680551613
c_ll_vl_0128	1.6737554261889918	3.8318263892205664
c_ll_vl_0132	1.6737554261889918	3.8318263892205664
c_ll_ya_0138	-4.802836135902019	-2.163072018963776
c_ll_ya_0139	-5.0149700917884665	-2.3157383856050022
c_ll_ya_0140	-4.998942969665926	-2.298743890927543
c_ll_ya_0141	-6.92160524160579	0.16598555016538502
c_ll_ya_0142	-6.92160524160579	0.16598555016538502
c_ll_ya_0143	-6.92160524160579	0.16598555016538502
c_ll_ya_0145	-5.3246953483198975	-2.6564781788070686
c_ll_ya_0146	-5.06419499772529	-2.3218677469215967
c_ll_ya_0147	-4.385771626730619	-1.5911424560146943
c_ll_tu_0153	-4.142109756725729	1.6264237052125905
c_ll_tu_0157	-4.142109756725729	1.6264237052125905
c_ll_tu_0158	-4.142109756725729	1.6264237052125905
c_ll_tu_0159	-4.142109756725729	1.6264237052125905
c_ll_tu_0165	-4.142109756725729	1.6264237052125905
c_ll_tu_0166	-4.142109756725729	1.6264237052125905
c_ll_ka_0184	-3.469645997246364	1.8532731806761042
c_ll_ka_0186	-3.4682079811878177	1.5674061953462395
c_ll_ka_0188	-3.006160767770242	1.6194966872146166
c_ll_ka_0189	-2.873256532751862	2.58962270422044
c_ll_to_0190	-3.442854901440636	0.22798599990617036
c_ll_to_0191	-3.491584102131194	0.6323922779724903
c_ll_ur_0194	0.7012698193945958	-1.1109816474406145
c_ll_ur_0195	0.40488515103470935	-1.2502837322299993
c_ll_ur_0196	0.40488515103470935	-1.2502837322299993
c_ll_ur_0199	0.4629604277126541	-1.1524117549174202
c_ll_ur_0200	0.43666696034167696	-1.1249921345182
c_ll_ur_0202	-0.09597121078466563	-2.19551019045313
c_ll_ur_0203	0.7729920081409841	-2.2223024454075606
c_ll_ca_0240	5.426511413960752	0.8111486840575556
c_ll_ca_0241	2.856765602907596	0.31632779428648927
c_ll_ca_0242	2.007913726128783	-1.7345320758407785
c_ll_ca_0243	2.6773831044511316	-2.0221470100611207
c_ll_ca_0244	2.563062883727813	-2.0477773734775475
c_ll_ca_0245	2.3821022029301053	0.38368342215807044
c_ll_ca_0247	3.396709372890392	0.4841321955058077
c_ll_ca_0248	4.582466841160184	3.2198470525435425
c_ll_ca_0252	3.495582677576145	2.5853477932850533
c_ll_ca_0254	6.949876823864398	0.8692763053130358
c_ll_ca_0259	2.399554420599639	0.1337521497626794
c_ll_ca_0260	2.631709403741758	0.9047653167100136
